R_angstrom,E_RHF_aug-cc-pVQZ_hartree
0.2,0.00703171474483745
0.2048048048048048,-0.04648178902658823
0.20960960960960962,-0.09715036573725756
0.21441441441441442,-0.14516858746091987
0.21921921921921922,-0.1907140498810744
0.22402402402402405,-0.23394917648129424
0.22882882882882882,-0.27502279862980167
0.23363363363363365,-0.3140715389881704
0.23843843843843845,-0.3512210322123216
0.24324324324324326,-0.38658700138728613
0.24804804804804806,-0.4202762100737366
0.25285285285285286,-0.45238730891663553
0.2576576576576577,-0.4830115880669211
0.26246246246246246,-0.5122336478398526
0.2672672672672673,-0.5401319940923811
0.27207207207207207,-0.5667795723154225
0.2768768768768769,-0.5922442449169938
0.2816816816816817,-0.6165892197855238
0.2864864864864865,-0.6398734423483373
0.2912912912912913,-0.6621519487034414
0.2960960960960961,-0.6834761863052115
0.30090090090090094,-0.7038943062115134
0.3057057057057057,-0.7234514230544197
0.3105105105105105,-0.7421898519906172
0.3153153153153153,-0.7601493215453441
0.32012012012012014,-0.7773671673263658
0.3249249249249249,-0.7938785078045245
0.32972972972972975,-0.8097164054700051
0.3345345345345345,-0.824912013369832
0.33933933933933935,-0.8394947096877844
0.3441441441441442,-0.8534922209259349
0.34894894894894896,-0.8669307348136646
0.35375375375375373,-0.8798350043076063
0.35855855855855856,-0.8922284429022066
0.3633633633633634,-0.9041332125904542
0.36816816816816816,-0.9155703048843782
0.37297297297297294,-0.9265596155398658
0.37777777777777777,-0.937120013665151
0.3825825825825826,-0.9472694056053207
0.3873873873873874,-0.9570247941302314
0.3921921921921922,-0.966402333281717
0.396996996996997,-0.9754173792999086
0.4018018018018018,-0.9840845379502496
0.40660660660660664,-0.9924177085033195
0.4114114114114114,-1.0004301247244674
0.4162162162162162,-1.0081343930451296
0.421021021021021,-1.015542528178021
0.42582582582582584,-1.0226659863669565
0.4306306306306306,-1.029515696454278
0.43543543543543545,-1.036102088935176
0.4402402402402402,-1.0424351231444806
0.44504504504504505,-1.0485243127193113
0.4498498498498499,-1.0543787494604375
0.45465465465465466,-1.060007125703027
0.4594594594594595,-1.0654177553104682
0.46426426426426426,-1.070618593370344
0.4690690690690691,-1.0756172546957707
0.47387387387387386,-1.0804210312037419
0.4786786786786787,-1.0850369082423195
0.48348348348348347,-1.0894715799402945
0.4882882882882883,-1.0937314636451894
0.49309309309309307,-1.0978227134960636
0.4978978978978979,-1.101751233209999
0.5027027027027027,-1.1055226881138984
0.5075075075075075,-1.1091425164950146
0.5123123123123123,-1.1126159403018576
0.5171171171171172,-1.1159479752528598
0.521921921921922,-1.1191434403972524
0.5267267267267267,-1.1222069671599457
0.5315315315315315,-1.1251430079158364
0.5363363363363363,-1.1279558441230175
0.5411411411411411,-1.1306495940419374
0.5459459459459459,-1.1332282200654493
