R_angstrom,E_RHF_aug-cc-pVQZ_Eh
0.2,0.04636540466743233
0.2096192384769539,-0.0579766920516811
0.21923847695390783,-0.15167810585693786
0.22885771543086172,-0.23610590043037227
0.23847695390781565,-0.31240736353717236
0.24809619238476954,-0.3815522467450809
0.25771543086172344,-0.44436562592142415
0.26733466933867733,-0.5015537523820761
0.2769539078156313,-0.5537245898557217
0.2865731462925852,-0.6014042679127015
0.2961923847695391,-0.6450503610357624
0.305811623246493,-0.6850626760720424
0.3154308617234469,-0.721792068796395
0.3250501002004008,-0.7555476913418228
0.3346693386773547,-0.7866029834119032
0.3442885771543086,-0.8152006525212884
0.3539078156312625,-0.8415568365675106
0.3635270541082164,-0.8658646017295204
0.37314629258517035,-0.8882968973111545
0.38276553106212424,-0.9090090645674798
0.3923847695390782,-0.9281409773321857
0.4020040080160321,-0.9458188770431186
0.411623246492986,-0.9621569527971189
0.4212424849699399,-0.9772587075493233
0.4308617234468938,-0.9912181440079604
0.44048096192384767,-1.0041207977119795
0.4501002004008016,-1.0160446399890746
0.4597194388777555,-1.0270608695335415
0.4693386773547094,-1.037234608297747
0.4789579158316633,-1.0466255147717036
0.48857715430861726,-1.055288325744138
0.49819639278557115,-1.063273335906882
0.507815631262525,-1.0706268233017158
0.5174348697394789,-1.077391427467135
0.5270541082164328,-1.0836064861917
0.5366733466933868,-1.0893083359494586
0.5462925851703406,-1.094530580439677
0.5559118236472946,-1.0993043310634316
0.5655310621242484,-1.1036584226666677
0.5751503006012024,-1.1076196074806997
0.5847695390781563,-1.1112127297924266
0.5943887775551102,-1.1144608835857914
0.6040080160320641,-1.1173855551171847
0.613627254509018,-1.1200067521044272
0.623246492985972,-1.1223431210202623
0.6328657314629258,-1.1244120537850208
0.6424849699398798,-1.1262297849609206
0.6521042084168336,-1.1278114804291652
0.6617234468937876,-1.1291713184025536
0.6713426853707415,-1.1303225635210439
0.6809619238476954,-1.1312776346788644
0.6905811623246493,-1.1320481671788838
0.7002004008016032,-1.132645069724999
0.7098196392785572,-1.1330785767079634
0.719438877755511,-1.1333582962162663
0.729058116232465,-1.1334932541260783
0.7386773547094188,-1.1334919346285217
0.7482965931863728,-1.1333623174906433
0.7579158316633265,-1.133111912337848
0.7675350701402806,-1.132747790222996
0.7771543086172346,-1.1322766127174584
0.7867735470941883,-1.1317046587434068
0.7963927855711423,-1.1310378493526008
0.8060120240480961,-1.1302817706344297
0.8156312625250501,-1.1294416949164905
0.8252505010020039,-1.1285226004107458
0.8348697394789579,-1.1275291894394508
0.8444889779559117,-1.1264659053650758
0.8541082164328657,-1.1253369483246367
0.8637274549098197,-1.1241462898773107
0.8733466933867735,-1.122897686644858
0.8829659318637275,-1.1215946930287857
0.8925851703406813,-1.1202406730772125
0.9022044088176353,-1.118838811563093
0.9118236472945891,-1.117392124341423
0.9214428857715431,-1.1159034680317446
0.9310621242484969,-1.1143755490845793
0.9406813627254509,-1.1128109322718427
0.9503006012024049,-1.1112120486452735
0.9599198396793587,-1.1095812030018226
0.9695390781563127,-1.107920580892893
0.9791583166332665,-1.1062322552023311
0.9887775551102205,-1.1045181923332352
0.9983967935871743,-1.102780258020166
1.0080160320641283,-1.1010202227984154
1.017635270541082,-1.0992397671482426
1.027254509018036,-1.0974404863403082
1.03687374749499,-1.095623894992718
1.0464929859719438,-1.0937914313666646
1.0561122244488979,-1.0919444614125782
1.0657314629258516,-1.0900842825792572
